repository_language,day,count
C++,15413.0,14742
C,15413.0,15825
Erlang,15413.0,798
Objective-C,15413.0,7563
Python,15413.0,30159
Common Lisp,15413.0,333
Clojure,15413.0,1305
Shell,15413.0,6510
D,15413.0,234
VimL,15413.0,3243
Elixir,15413.0,69
FORTRAN,15413.0,153
Puppet,15413.0,654
Verilog,15413.0,132
Arduino,15413.0,186
Objective-J,15413.0,159
Dylan,15413.0,21
Nimrod,15413.0,3
Nu,15413.0,3
Racket,15413.0,117
Rebol,15413.0,45
Coq,15413.0,21
Perl,15413.0,3204
F#,15413.0,87
Vala,15413.0,63
Standard ML,15413.0,48
Scheme,15413.0,108
C#,15413.0,6306
Emacs Lisp,15413.0,1341
Go,15413.0,693
CoffeeScript,15413.0,1677
Rust,15413.0,222
Visual Basic,15413.0,78
Eiffel,15413.0,21
Scala,15413.0,2475
Prolog,15413.0,129
Assembly,15413.0,231
Io,15413.0,3
Gosu,15413.0,9
XQuery,15413.0,15
Fancy,15413.0,3
Scilab,15413.0,24
Parrot,15413.0,3
Boo,15413.0,39
Opa,15413.0,15
ASP,15413.0,60
Modelica,15413.0,30
AutoHotkey,15413.0,27
Nemerle,15413.0,33
Powershell,15413.0,93
HaXe,15413.0,195
ASP,15414.0,60
Arduino,15414.0,105
Modelica,15414.0,24
Scheme,15414.0,153
F#,15414.0,48
Vala,15414.0,36
Objective-J,15414.0,117
Tcl,15414.0,54
Delphi,15414.0,213
XQuery,15414.0,9
Powershell,15414.0,129
VHDL,15414.0,87
Coq,15414.0,21
Standard ML,15414.0,81
SuperCollider,15414.0,42
HaXe,15414.0,126
Objective-C,15414.0,7302
Self,15414.0,6
Groovy,15414.0,903
Visual Basic,15414.0,60
Matlab,15414.0,537
Shell,15414.0,6219
Verilog,15414.0,132
C#,15414.0,7563
Haskell,15414.0,1338
Scala,15414.0,2151
D,15414.0,351
JavaScript,15414.0,53196
Python,15414.0,28023
C++,15414.0,14622
VimL,15414.0,3642
PHP,15414.0,26961
C,15414.0,18948
Ruby,15414.0,39480
ActionScript,15414.0,1083
Java,15414.0,33375
Racket,15414.0,108
ColdFusion,15414.0,105
Boo,15414.0,42
Emacs Lisp,15414.0,1632
Go,15414.0,597
OCaml,15414.0,714
Elixir,15414.0,36
Lua,15414.0,870
Puppet,15414.0,453
Common Lisp,15414.0,252
Rust,15414.0,387
R,15414.0,708
Nemerle,15414.0,27
FORTRAN,15414.0,207
Erlang,15414.0,993
Prolog,15414.0,186
Assembly,15414.0,213
Perl,15414.0,3147
Clojure,15414.0,1359
CoffeeScript,15414.0,2049
Gosu,15414.0,9
Rebol,15414.0,9
Ioke,15414.0,6
Ada,15414.0,3
Smalltalk,15414.0,15
Eiffel,15414.0,18
AutoHotkey,15414.0,36
Opa,15414.0,6
Scilab,15414.0,6
Factor,15414.0,3
Turing,15414.0,6
Pure Data,15414.0,3
Io,15414.0,3
Dylan,15414.0,6
Lua,15415.0,1047
OCaml,15415.0,624
Objective-C,15415.0,7545
Prolog,15415.0,87
Rust,15415.0,258
XQuery,15415.0,3
R,15415.0,540
D,15415.0,423
Common Lisp,15415.0,240
Verilog,15415.0,69
Arduino,15415.0,117
ColdFusion,15415.0,165
FORTRAN,15415.0,183
Modelica,15415.0,24
Scilab,15415.0,36
Ada,15415.0,6
Erlang,15415.0,846
Opa,15415.0,42
Boo,15415.0,33
Factor,15415.0,3
Rebol,15415.0,9
VHDL,15415.0,60
Matlab,15415.0,447
Delphi,15415.0,255
Visual Basic,15415.0,48
Objective-J,15415.0,102
Parrot,15415.0,24
Go,15415.0,591
Puppet,15415.0,486
ActionScript,15415.0,972
Assembly,15415.0,162
Vala,15415.0,57
Scala,15415.0,2784
Turing,15415.0,3
Perl,15415.0,2958
VimL,15415.0,3177
CoffeeScript,15415.0,2181
Groovy,15415.0,786
Clojure,15415.0,1407
Emacs Lisp,15415.0,1521
Powershell,15415.0,93
Dylan,15415.0,6
ASP,15415.0,18
